SOURCE http://www.openprinting.org/foomatic-db/db/source/printer/
Filtered and aggregated by Raspebrry (Jan 2021)
This list contains the filename as stored on www.openprinting.org/foomatic-db/db/source/printer/
and the XML-tag <ieee1284></ieee1284> separated by '|'
Epson-E-360_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:E-360 Series;CLS:PRINTER;DES:EPSON E-360 Series
Epson-E-370_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:E-370 Series;CLS:PRINTER;DES:EPSON E-370 Series
Epson-E-500.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:E-500;CLS:PRINTER;DES:Epson E-500
Epson-E-520.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:E-520;CLS:PRINTER;DES:Epson E-520
Epson-E-530.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:E-530;CLS:PRINTER;DES:EPSON E-530
Epson-E-600.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:E-600;CLS:PRINTER;DES:Epson E-600
Epson-E-700.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:E-700;CLS:PRINTER;DES:Epson E-700
Epson-E-720.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:E-720;CLS:PRINTER;DES:Epson E-720
Epson-E-800.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:E-800;CLS:PRINTER;DES:Epson E-800
Epson-E-810.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:E-810;CLS:PRINTER;DES:Epson E-810
Epson-E-820.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:E-820;CLS:PRINTER;DES:Epson E-820
Epson-E-830_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:E-830 Series;CLS:PRINTER;DES:EPSON E-830 Series
Epson-E-840_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:E-840 Series;CLS:PRINTER;DES:EPSON E-840 Series
Epson-E-850_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:E-850 Series;CLS:PRINTER;DES:EPSON E-850 Series
Epson-EP-306_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX;MDL:EP-306 Series;CLS:PRINTER;DES:EPSON EP-306 Series
Epson-EP-705A_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX;MDL:EP-705A Series;CLS:PRINTER;DES:EPSON EP-705A Series
Epson-EP-706A_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX;MDL:EP-706A Series;CLS:PRINTER;DES:EPSON EP-706A Series
Epson-EP-707A_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:EP-707A Series;CLS:PRINTER;DES:EPSON EP-707A Series
Epson-EP-775A_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX;MDL:EP-775A Series;CLS:PRINTER;DES:EPSON EP-775A Series
Epson-EP-776A_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX;MDL:EP-776A Series;CLS:PRINTER;DES:EPSON EP-776A Series
Epson-EP-777A_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:EP-777A Series;CLS:PRINTER;DES:EPSON EP-777A Series
Epson-EP-801A.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:EP-801A;CLS:PRINTER;DES:EPSON EP-801A
Epson-EP-805A_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX;MDL:EP-805A Series;CLS:PRINTER;DES:EPSON EP-805A Series
Epson-EP-806A_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX;MDL:EP-806A Series;CLS:PRINTER;DES:EPSON EP-806A Series
Epson-EP-807A_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:EP-807A Series;CLS:PRINTER;DES:EPSON EP-807A Series
Epson-EP-901A.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:EP-901A;CLS:PRINTER;DES:EPSON EP-901A
Epson-EP-901F.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:EP-901F;CLS:PRINTER;DES:EPSON EP-901F
Epson-EP-905A_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX;MDL:EP-905A Series;CLS:PRINTER;DES:EPSON EP-905A Series
Epson-EP-905F_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX;MDL:EP-905F Series;CLS:PRINTER;DES:EPSON EP-905F Series
Epson-EP-906F_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX;MDL:EP-906F Series;CLS:PRINTER;DES:EPSON EP-906F Series
Epson-EP-907F_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:EP-907F Series;CLS:PRINTER;DES:EPSON EP-907F Series
Epson-EP-976A3_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:EP-976A3 Series;CLS:PRINTER;DES:EPSON EP-976A3 Series
Epson-EP-977A3_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:EP-977A3 Series;CLS:PRINTER;DES:EPSON EP-977A3 Series
Epson-EPL-5900_PS3.xml|MFG:Epson;MDL:EPL-5900 PS3;
Epson-EPL-6100_PS3.xml|MFG:Epson;MDL:EPL-6100 PS3;
Epson-EPL-6200.xml|MFG:Epson;MDL:EPL-6200;
Epson-EPL-N2550.xml|MFG:Epson;MDL:EPL-N2550;
